Candidat;Annee;DrGau;CentExt;LibCons
BARBU;1965;;;
MITTERRAND;1965;G;;
LECANUET;1965;D;;
DEGAULLE;1965;D;;
MARCILHACY;1965;D;;
TIXIERVIGNANCOUR;1965;D;;
KRIVINE;1969;G;;
ROCARD;1969;G;;
DUCLOS;1969;G;;
DEFFERRE;1969;G;;
DUCATEL;1969;G;;
POMPIDOU;1969;D;;
POHER;1969;D;;
KRIVINE;1974;G;;
LAGUILLER;1974;G;;
DUMONT;1974;G;;
MITTERRAND;1974;G;;
HERAUD;1974;;;
MULLER;1974;G;;
SEBAG;1974;;;
CHABANDELMAS;1974;D;;
GISCARDDESTAING;1974;D;;
ROYER;1974;D;;
RENOUVIN;1974;D;;
LEPEN;1974;D;;
BOUCHARDEAU;1981;G;C;L
CHIRAC;1981;D;C;C
CREPEAU;1981;G;C;C
DEBRE;1981;D;C;C
GARAUD;1981;D;C;C
GISCARDDESTAING;1981;D;C;L
LAGUILLER;1981;G;C;C
LALONDE;1981;G;C;L
MARCHAIS;1981;G;C;C
MITTERRAND;1981;G;C;L
LAGUILLER;1988;G;;
BOUSSEL;1988;G;;
JUQUIN;1988;G;;
LAJOINIE;1988;G;;
MITTERRAND;1988;G;;
WAECHTER;1988;G;;
BARRE;1988;D;;
CHIRAC;1988;D;;
LEPEN;1988;D;;
LAGUILLER;1995;G;;
HUE;1995;G;;
VOYNET;1995;G;;
JOSPIN;1995;G;;
CHEMINADE;1995;;;
CHIRAC;1995;D;;
BALLADUR;1995;D;;
VILLIERS;1995;D;;
LEPEN;1995;D;;
LAGUILLER;2002;G;;
BESANCENOT;2002;G;;
GLUCKSTEIN;2002;G;;
HUE;2002;G;;
TAUBIRA;2002;G;;
MAMERE;2002;G;;
CHEVENEMENT;2002;G;;
JOSPIN;2002;G;;
LEPAGE;2002;;;
SAINTJOSSE;2002;D;;
BAYROU;2002;D;;
CHIRAC;2002;D;;
MADELIN;2002;D;;
BOUTIN;2002;D;;
MEGRET;2002;D;;
LEPEN;2002;D;;
LAGUILLER;2007;G;;
BESANCENOT;2007;G;;
SCHIVARDI;2007;G;;
BUFFET;2007;G;;
BOVE;2007;G;;
VOYNET;2007;G;;
ROYAL;2007;G;;
NIHOUS;2007;D;;
BAYROU;2007;D;C;
SARKOZY;2007;D;C;
VILLIERS;2007;D;E;
LEPEN;2007;D;E;
ARTHAUD;2012;G;E;
POUTOU;2012;G;E;
MELENCHON;2012;G;;
JOLY;2012;G;C;
HOLLANDE;2012;G;C;
CHEMINADE;2012;;;
BAYROU;2012;D;C;
SARKOZY;2012;D;C;
DUPONTAIGNAN;2012;D;E;
MLEPEN;2012;D;E;
ARTHAUD;2017;G;E;
POUTOU;2017;G;E;
MELENCHON;2017;G;;
HAMON;2017;G;C;
CHEMINADE;2017;;;
LASSALLE;2017;D;E;
MACRON;2017;;C;
FILLON;2017;D;C;
ASSELINEAU;2017;;E;
DUPONTAIGNAN;2017;D;E;
MLEPEN;2017;D;E;
ARTHAUD;2022;G;E;
POUTOU;2022;G;E;
ROUSSEL;2022;G;;
MELENCHON;2022;G;;
JADOT;2022;G;C;
HIDALGO;2022;G;C;
LASSALLE;2022;D;E;
MACRON;2022;;C;
PECRESSE;2022;D;C;
ZEMMOUR;2022;D;E;
DUPONTAIGNAN;2022;D;E;
MLEPEN;2022;D;E;
